nomRegion
Auvergne - Rhône-Alpes
Bourgogne - Franche-Comté
Bretagne
Centre - Val-de-Loire
Corse
Grand-Est
Hauts-de-France
Ile-de-France
Normandie
Nouvelle Aquitaine
Occitanie
Pays de la Loire
'Provence-Alpes-Côte-d''Azur'
Alsace
Aquitaine
Auvergne
Basse-Normandie
Bourgogne
Centre
Champagne-Ardenne
Franche-Comté
Haute-Normandie
Languedoc-Roussillon
Limousin
Lorraine
Midi-Pyrénées
Nord-Pas-de-Calais
Picardie
Poitou-Charentes
Rhône-Alpes
