nomProprietaire
STUDIO DU DRAGON
UGC SAS
PARAFRANCE COMMUNICATION
CINEMA LE BILBOQUET
SOCIETE THEATRE LE BRADY
UGC CINE CITE ILE DE FRANCE
CINEMA CHAPLIN
SOCIETE D'EXPLOITATION DU CHAMPOLLION STUDIO DES ECOLES
STUDIO 43
MK2 CINEMAS
MK2 A & E
UGC CINE CITE
CINEMA LE PARIS
LE ROXY
REGIE SERVICE PUBLIC STATION VALMOPARC
LES AMIS DU CINEMA
ASSOCIATION IDEAL CINEMA
ASSOCIATION LES AMIS DU CINEMA
CAP  CINEMA BEAUNE
ASSOCIATION POUR LE DEVELOPPEMENT DU CINEMA A ACIGNE
COMMUNE DE BRUZ
LA MOUETTE CANCALAISE
LE FESTIVAL
SOCIETE AIXOISE CINEMATOGRAPHIQUE
CINEMA NEMO
POLYMAGES
ASSOCIATION CULTURELLE CARRY LE ROUET
LES TOILES DE MER
SOCIETE CINEMAS CELTIC
CINES DU BOUT DU MONDE
ASSOCIATION ETOILE CINE
PLOUHEL
L YRE CINEMAS
SARL G K L B
ASS JOURNEES CINE AMIENS CONTRE RACISME
MULTICINES PYRENEES SARL
GIRAUDET COSSET ANNIE
CINE-OFF
CITE INTERNATIONALE DE LA BANDE DESSINEE ET DE L IMAGE
RAYCHAMOND
LES BONIMENTEURS
AGENCE POUR DEVELOPPEMENT ACTIVITES TOURISTIQUES ET CULTURELLES
CINEMAGINAIRE
L'YRE CANET
SOCIETE CINEMATOGRAPHIQUE DU BERRY
LECA
COMMUNE D'AUCHEL
UNION ARS SUR MOSELLE
ESPACE GRUN
INSTITUT AULNAYSIEN DE DEVELOPPEMENT CULTUREL
COMMUNE DE BLANC MESNIL
COMMUNE DE BONDY
CASINO DE BOURBONNE LES BAINS
ASSOCIATION CINEFOL 31
COMMUNE DE BLAGNAC
CENTRE REGIONAL AUDIO VISUEL LORRAINE
ASSOCIATION MAISON DES LOISIRS ET DE LA CULTURE
PATHE AVIGNON
LE PETIT LORRAIN
CINE PINEL
CAMERA CINEMA
COMMUNE DE CATEAU CAMBRESIS
COMMUNE DE BARJAC
COMMUNE DE BEAUMONT DE LOMAGNE
FAMILLES RURALES FEDERATION REGIONALE DES PAYS DE LA LOIRE
ASSOCIATION LOISIRS ET CULTURE
COMMUNE DE BOIS D'ARCY
ASSOCIATION DES CINEMAS INDEPENDANTS
ASSOCIATION CINE 220
AVENIR BERNERIE CINEMA
ASSOCIATION CINEMA LE BEAULIEU
ASSOCIATION DEVELOPPEMENT CULTUREL CARQUEFOU
ARTS ET TECHNIQUES
COMMUNE DE BOISSY SAINT LEGER
CAVELAN ANDRE FERNAND ERNEST
ASSOCIATION SCENA RIO
ASSOCIATION LES AMIS DE CINE 4
LE TRIANON
CINEMA THEATRE LE SPLENDID
FEDERATION DEPARTEMENTALE DES FOYERS RURAUX DU LOT
SOCIETE CINEMATOGRAPHIQUE LE QUERCY
THALIE
OLYMPIA
TOURNEE FAMILIA
LES LUMIERES DE LA VILLE
ASSOCIATION LE PARVIS SCENE NATIONALE TARBES PYRENEES
LOISIRS CULTURE LE SEVIGNE-CESSON
