nomTypeFilm,numCinema,nombre
Programmes,356871,120
Programmes,362034,220
Programmes,362651,121
Programmes,363131,44
Programmes,364945,45
Programmes,365434,116
Programmes,365721,124
Programmes,367911,98
Programmes,371581,140
Programmes,372146,141
Programmes,372181,114
Programmes,372341,36
Programmes,373722,49
Programmes,376531,48
Programmes,377271,144
Programmes,379013,102
Programmes,379403,211
Programmes,381941,155
Programmes,383245,99
Programmes,383585,164
Programmes,383961,89
Programmes,385401,81
Programmes,385793,176
Programmes,386782,11
Programmes,387041,68
Programmes,388371,57
Programmes,390791,115
Programmes,391331,52
Programmes,398251,107
Programmes,399432,100
Programmes,402249,81
Programmes,404692,77
Programmes,405441,89
Programmes,407211,116
Programmes,407220,181
Programmes,409463,47
Programmes,411540,76
Programmes,412322,100
Programmes,412415,86
Programmes,412623,134
Programmes,416701,114
Programmes,421997,145
Programmes,422160,143
Programmes,426120,212
Programmes,426273,125
Programmes,426924,145
Programmes,429132,208
Programmes,430102,7
Programmes,430455,125
Programmes,431732,267
Programmes,431801,154
Programmes,434682,52
Programmes,437682,123
Programmes,438461,86
Programmes,439502,21
Programmes,439990,203
Programmes,440961,133
Programmes,441953,136
Programmes,444791,113
Programmes,447605,153
Programmes,448762,120
Programmes,448981,82
Programmes,449661,199
Programmes,450503,74
Programmes,452961,26
Programmes,454531,147
Programmes,463842,97
Programmes,464453,153
Programmes,465193,133
Programmes,466201,31
Programmes,468243,81
Programmes,468473,16
Programmes,468533,108
Programmes,469245,120
Programmes,470161,20
Programmes,575001,160
Programmes,700250,80
Programmes,703300,32
Programmes,706850,46
Programmes,709650,72
Programmes,719456,156
Programmes,720700,205
Programmes,720950,135
Programmes,721200,186
Programmes,721250,132
Programmes,722760,190
Programmes,723480,165
Programmes,723600,123
Programmes,724048,151
Programmes,724120,332
Programmes,724520,253
Programmes,31,80
Programmes,321,90
Programmes,733,107
Programmes,802,67
Programmes,821,78
Programmes,1791,147
Programmes,3741,104
Programmes,8291,120
Programmes,8341,86
Programmes,8374,294
Programmes,8451,67
Programmes,8632,226
Programmes,9900,131
Programmes,10992,138
Programmes,11592,172
Programmes,12454,118
Programmes,12562,141
Programmes,13423,120
Programmes,13686,253
Programmes,14114,107
Programmes,14445,174
Programmes,14693,33
Programmes,17082,57
Programmes,17303,104
Programmes,17326,217
Programmes,18701,54
Programmes,19941,136
Programmes,19945,89
Programmes,19984,30
Programmes,21571,57
Programmes,23262,85
Programmes,23491,89
Programmes,24753,7
Programmes,25032,197
Programmes,28113,123
Programmes,28264,152
Programmes,28661,78
Programmes,28732,114
Programmes,28991,161
Programmes,29373,104
Programmes,29741,32
Programmes,33751,86
Programmes,36602,114
Programmes,38592,26
Programmes,38931,101
Programmes,42011,115
Programmes,42075,115
Programmes,45876,93
Programmes,45877,241
Programmes,46862,77
Programmes,49522,107
Programmes,50033,197
Programmes,50833,108
Programmes,53122,141
Programmes,58735,186
Programmes,58773,169
Programmes,59033,100
Programmes,61132,145
Programmes,67734,96
Programmes,68212,3
Programmes,68561,97
Programmes,68562,36
Programmes,71942,141
Programmes,73099,233
Programmes,73371,77
Programmes,73582,30
Programmes,77351,210
Programmes,77733,165
Programmes,78505,171
Programmes,80391,150
Programmes,81311,148
Programmes,81414,13
Programmes,81541,115
Programmes,81545,140
Programmes,82392,172
Programmes,82603,83
Programmes,83071,117
Programmes,84734,43
Programmes,84774,34
Programmes,84781,23
Programmes,84782,17
Programmes,86103,208
Programmes,86353,151
Programmes,86860,18
Programmes,88111,137
Programmes,89105,179
Programmes,90191,90
Programmes,91492,88
Programmes,92441,71
Programmes,94743,70
Programmes,95044,125
Programmes,95076,173
Programmes,96184,136
Programmes,96641,75
Programmes,99031,138
Programmes,103201,103
Programmes,103561,106
Programmes,104164,94
Programmes,104181,114
Programmes,104642,100
Programmes,104661,61
Programmes,104851,127
Programmes,105375,101
Programmes,106181,111
Programmes,107043,214
Programmes,108192,80
Programmes,108932,78
Programmes,109792,226
Programmes,113131,145
Programmes,114032,137
Programmes,118135,62
Programmes,119122,42
Programmes,119281,39
Programmes,125322,55
Programmes,126311,142
Programmes,127501,104
Programmes,127661,37
Programmes,131031,126
Programmes,133141,108
Programmes,133621,40
Programmes,136666,140
Programmes,137663,60
Programmes,138352,218
Programmes,138641,202
Programmes,138712,145
Programmes,138922,114
Programmes,139503,126
Programmes,144303,31
Programmes,144331,136
Programmes,145792,101
Programmes,146013,133
Programmes,146762,149
Programmes,147071,120
Programmes,147971,154
Programmes,148324,156
Programmes,149335,69
Programmes,149552,132
Programmes,152884,85
Programmes,155143,125
Programmes,157971,121
Programmes,158701,158
Programmes,162501,7
Programmes,162853,143
Programmes,163962,80
Programmes,164771,71
Programmes,166051,162
Programmes,168953,34
Programmes,174813,63
Programmes,175924,95
Programmes,177140,8
Programmes,177201,45
Programmes,181422,139
Programmes,182461,112
Programmes,183942,121
Programmes,185173,116
Programmes,185175,4
Programmes,185241,55
Programmes,187852,125
Programmes,188041,129
Programmes,188933,162
Programmes,189741,109
Programmes,193185,65
Programmes,193731,118
Programmes,194671,206
Programmes,198581,145
Programmes,201041,95
Programmes,202162,126
Programmes,202292,164
Programmes,202370,36
Programmes,203343,114
Programmes,203672,39
Programmes,204451,70
Programmes,204507,108
Programmes,204891,138
Programmes,205601,36
Programmes,206924,122
Programmes,209151,232
Programmes,209494,135
Programmes,211844,180
Programmes,213542,76
Programmes,213933,82
Programmes,214841,71
Programmes,215581,93
Programmes,215723,124
Programmes,216371,107
Programmes,216471,56
Programmes,221842,106
Programmes,223612,137
Programmes,227281,136
Programmes,228122,34
Programmes,232572,41
Programmes,233181,78
Programmes,235771,189
Programmes,237793,129
Programmes,237821,96
Programmes,238032,87
Programmes,238163,201
Programmes,238886,190
Programmes,240661,75
Programmes,242852,118
Programmes,243552,204
Programmes,244491,64
Programmes,244700,154
Programmes,247550,99
Programmes,249791,250
Programmes,250412,68
Programmes,251251,76
Programmes,251922,160
Programmes,252212,91
Programmes,253164,92
Programmes,255072,61
Programmes,256983,98
Programmes,257302,112
Programmes,260602,100
Programmes,261273,134
Programmes,261730,153
Programmes,262461,16
Programmes,264442,131
Programmes,267391,175
Programmes,268841,95
Programmes,269141,139
Programmes,269222,95
Programmes,270633,76
Programmes,272392,114
Programmes,272701,146
Programmes,273071,63
Programmes,273182,33
Programmes,273565,134
Programmes,275334,151
Programmes,275460,74
Programmes,277201,63
Programmes,277721,122
Programmes,277851,95
Programmes,277893,37
Programmes,277940,98
Programmes,278231,67
Programmes,279192,46
Programmes,281723,129
Programmes,282842,94
Programmes,282860,12
Programmes,284111,183
Programmes,284490,174
Programmes,284662,200
Programmes,284747,191
Programmes,285872,170
Programmes,286831,85
Programmes,288291,50
Programmes,288922,50
Programmes,289783,213
Programmes,290022,105
Programmes,290032,100
Programmes,290063,12
Programmes,290191,176
Programmes,290388,136
Programmes,291014,231
Programmes,291027,135
Programmes,291114,60
Programmes,292341,148
Programmes,296921,17
Programmes,298142,64
Programmes,301633,96
Programmes,302485,147
Programmes,303122,63
Programmes,303281,151
Programmes,303803,25
Programmes,305101,124
Programmes,307502,283
Programmes,312981,115
Programmes,315411,63
Programmes,317394,115
Programmes,317613,98
Programmes,317831,34
Programmes,318612,32
Programmes,320333,100
Programmes,321594,52
Programmes,324021,86
Programmes,324212,78
Programmes,329941,114
Programmes,330431,75
Programmes,331964,59
Programmes,335751,57
Programmes,336023,103
Programmes,336432,125
Programmes,336801,159
Programmes,337051,62
Programmes,337784,183
Programmes,338335,80
Programmes,338461,164
Programmes,339713,120
Programmes,339911,149
Programmes,341652,152
Programmes,343010,7
Programmes,343491,171
Programmes,343762,87
Programmes,345631,111
Programmes,347302,120
Programmes,348311,53
Programmes,350169,105
Programmes,350641,121
Programmes,351441,49
Programmes,353252,58
Programmes,353531,118
Programmes,356024,97
Programmes,357904,117
Programmes,358333,153
Programmes,359462,68
Programmes,359622,131
Programmes,359772,187
Programmes,362414,82
Programmes,364121,80
Programmes,366992,120
Programmes,367871,116
Programmes,368723,217
Programmes,369792,338
Programmes,370251,115
Programmes,374082,103
Programmes,374431,53
Programmes,381152,98
Programmes,381240,7
Programmes,382423,61
Programmes,382660,99
Programmes,383599,202
Programmes,384051,43
Programmes,385823,188
Programmes,386264,248
Programmes,387142,77
Programmes,388971,131
Programmes,393253,246
Programmes,393312,120
Programmes,394522,68
Programmes,395671,249
Programmes,395720,24
Programmes,395872,161
Programmes,396151,92
Programmes,396502,129
Programmes,399341,114
Programmes,399681,11
Programmes,403681,222
Programmes,404350,48
Programmes,406333,136
Programmes,406812,171
Programmes,407140,38
Programmes,407229,115
Programmes,410232,107
Programmes,412061,84
Programmes,413157,213
Programmes,416021,103
Programmes,416622,113
Programmes,418651,114
Programmes,421203,5
Programmes,421204,56
Programmes,421932,82
Programmes,423382,62
Programmes,423422,94
Programmes,426151,76
Programmes,426463,149
Programmes,427042,86
Programmes,427363,97
Programmes,427861,115
Programmes,428921,82
Programmes,430243,166
Programmes,433913,101
Programmes,433975,162
Programmes,436927,209
Programmes,438631,154
Programmes,439295,250
Programmes,439745,121
Programmes,440044,288
Programmes,441063,114
Programmes,441261,85
Programmes,442861,48
Programmes,444330,140
Programmes,448802,117
Programmes,449133,116
Programmes,449702,139
Programmes,450271,55
Programmes,450871,102
Programmes,454504,157
Programmes,456493,115
Programmes,463353,189
Programmes,465651,60
Programmes,467301,101
Programmes,469500,134
Programmes,701400,44
Programmes,715100,122
Programmes,715700,53
Programmes,720500,99
Programmes,720551,285
Programmes,720650,143
Programmes,720800,143
Programmes,721100,156
Programmes,721750,134
Programmes,722000,127
Programmes,723560,108
Programmes,723760,155
Programmes,724600,135
Programmes,724640,77
Programmes,483,210
Programmes,721,79
Programmes,751,163
Programmes,803,23
Programmes,883,242
Programmes,2543,15
Programmes,3211,86
Programmes,3222,192
Programmes,5861,73
Programmes,7711,86
Programmes,8132,151
Programmes,8531,167
Programmes,9452,158
Programmes,9700,154
Programmes,10184,136
Programmes,11854,98
Programmes,12101,133
Programmes,12572,118
Programmes,13413,133
Programmes,15682,77
Programmes,19702,80
Programmes,19983,83
Programmes,20203,97
Programmes,20672,117
Programmes,20931,204
Programmes,22634,165
Programmes,23301,77
Programmes,23323,163
Programmes,23561,68
Programmes,23933,87
Programmes,23951,149
Programmes,26180,52
Programmes,26402,115
Programmes,29563,5
Programmes,30482,47
Programmes,32771,46
Programmes,33122,120
Programmes,33772,133
Programmes,33912,37
Programmes,34482,79
Programmes,35872,81
Programmes,35953,30
Programmes,36013,141
Programmes,36071,92
Programmes,37350,47
Programmes,38501,88
Programmes,39131,65
Programmes,39442,7
Programmes,39474,129
Programmes,39662,71
Programmes,41142,96
Programmes,42841,153
Programmes,44005,62
Programmes,44042,126
Programmes,44239,10
Programmes,45132,120
Programmes,48503,160
Programmes,50151,226
Programmes,51261,134
Programmes,52532,90
Programmes,54292,71
Programmes,54604,163
Programmes,54891,158
Programmes,56475,210
Programmes,56558,55
Programmes,57141,165
Programmes,57303,51
Programmes,57851,50
Programmes,58121,66
Programmes,58841,63
Programmes,62802,148
Programmes,62871,184
Programmes,63411,284
Programmes,67312,39
Programmes,67903,21
Programmes,71791,91
Programmes,73083,205
Programmes,74322,123
Programmes,75021,107
Programmes,76825,142
Programmes,80942,98
Programmes,81456,170
Programmes,82133,162
Programmes,82961,128
Programmes,84711,84
Programmes,85993,206
Programmes,86072,12
Programmes,86313,112
Programmes,86561,79
Programmes,86772,51
Programmes,86781,168
Programmes,87941,114
Programmes,87966,120
Programmes,88236,190
Programmes,88371,32
Programmes,88512,99
Programmes,88751,123
Programmes,90112,163
Programmes,94997,124
Programmes,95006,123
Programmes,95052,15
Programmes,95405,72
Programmes,95451,120
Programmes,96611,122
Programmes,99631,105
Programmes,102173,165
Programmes,102246,237
Programmes,103166,247
Programmes,104143,33
Programmes,104282,92
Programmes,104301,145
Programmes,104801,103
Programmes,106582,54
Programmes,106673,108
Programmes,106681,9
Programmes,107511,79
Programmes,110761,72
Programmes,112014,89
Programmes,114062,98
Programmes,114701,118
Programmes,114720,102
Programmes,114727,144
Programmes,114971,31
Programmes,115104,89
Programmes,115566,104
Programmes,119812,49
Programmes,120071,39
Programmes,122243,78
Programmes,123905,8
Programmes,125135,156
Programmes,125424,59
Programmes,125933,56
Programmes,136201,48
Programmes,136686,142
Programmes,137481,84
Programmes,138345,111
Programmes,138594,22
Programmes,138901,183
Programmes,139283,30
Programmes,139541,188
Programmes,141262,60
Programmes,141321,103
Programmes,141711,171
Programmes,141823,156
Programmes,142311,56
Programmes,142626,147
Programmes,143691,59
Programmes,143731,237
Programmes,154142,117
Programmes,154251,54
Programmes,154393,240
Programmes,154444,169
Programmes,154712,73
Programmes,156393,57
Programmes,158812,84
Programmes,159674,133
Programmes,161061,188
Programmes,163811,73
Programmes,164811,91
Programmes,165383,9
Programmes,165801,91
Programmes,165884,196
Programmes,166434,153
Programmes,166862,111
Programmes,167151,119
Programmes,168193,155
Programmes,171253,151
Programmes,172213,54
Programmes,173991,108
Programmes,178231,114
Programmes,182462,92
Programmes,183951,207
Programmes,184252,116
Programmes,190281,61
Programmes,192833,44
Programmes,193111,142
Programmes,193442,105
Programmes,199951,227
Programmes,201253,114
Programmes,201753,90
Programmes,202891,10
Programmes,203523,71
Programmes,204141,38
Programmes,204312,85
Programmes,208981,39
Programmes,212450,81
Programmes,212871,99
Programmes,215183,143
Programmes,218381,105
Programmes,219191,149
Programmes,221712,194
Programmes,223593,123
Programmes,224165,146
Programmes,225444,194
Programmes,226211,78
Programmes,226974,258
Programmes,229082,86
Programmes,230152,85
Programmes,230301,115
Programmes,231939,82
Programmes,232584,91
Programmes,233001,247
Programmes,234295,1
Programmes,235942,71
Programmes,236001,199
Programmes,237903,160
Programmes,237933,217
Programmes,238244,91
Programmes,239353,262
Programmes,243839,45
Programmes,245911,110
Programmes,248254,199
Programmes,248763,23
Programmes,249451,69
Programmes,250410,61
Programmes,250751,131
Programmes,250935,128
Programmes,254173,36
Programmes,255421,7
Programmes,257772,86
Programmes,258161,143
Programmes,259022,132
Programmes,260903,100
Programmes,260904,69
Programmes,262921,130
Programmes,263484,82
Programmes,263612,71
Programmes,263912,180
Programmes,264672,102
Programmes,266213,110
Programmes,266292,82
Programmes,266361,216
Programmes,266571,119
Programmes,267061,49
Programmes,270562,75
Programmes,271052,53
Programmes,272358,76
Programmes,272481,131
Programmes,274502,89
Programmes,274543,62
Programmes,274682,68
Programmes,274702,162
Programmes,274900,5
Programmes,275311,241
Programmes,275336,45
Programmes,277331,92
Programmes,278241,74
Programmes,278802,53
Programmes,278805,51
Programmes,282631,268
Programmes,282922,108
Programmes,283043,133
Programmes,283105,249
Programmes,283523,86
Programmes,283551,104
Programmes,284121,170
Programmes,284362,66
Programmes,287391,88
Programmes,287462,55
Programmes,288151,75
Programmes,288571,138
Programmes,289344,84
Programmes,290044,123
Programmes,291144,177
Programmes,293630,8
Programmes,297871,95
Programmes,298831,282
Programmes,298834,175
Programmes,299572,181
Programmes,302933,63
Programmes,305014,176
Programmes,305041,145
Programmes,305632,110
Programmes,309331,89
Programmes,310106,42
Programmes,310180,99
Programmes,310542,118
Programmes,314451,36
Programmes,315312,123
Programmes,317442,97
Programmes,319161,130
Programmes,320311,162
Programmes,324731,122
Programmes,326263,81
Programmes,326550,100
Programmes,326741,27
Programmes,327092,18
Programmes,327945,322
Programmes,327961,70
Programmes,328244,155
Programmes,333683,113
Programmes,333751,81
Programmes,334606,129
Programmes,335054,122
Programmes,335303,182
Programmes,338902,113
Programmes,343321,88
Programmes,345421,59
Programmes,346502,145
Programmes,346622,85
Programmes,347831,75
Programmes,348296,131
Programmes,348314,18
Programmes,350414,222
Programmes,350542,35
Programmes,351052,242
Programmes,352610,120
Programmes,357751,98
Programmes,358561,95
Programmes,364961,2
Programmes,367052,122
Programmes,367453,9
Programmes,368801,204
Programmes,370073,81
Programmes,370483,164
Programmes,371131,90
Programmes,374903,89
Programmes,376802,33
Programmes,377083,176
Programmes,377441,119
Programmes,381260,113
Programmes,382552,196
Programmes,385421,57
Programmes,385491,123
Programmes,386864,5
Programmes,386961,120
Programmes,387092,83
Programmes,387191,109
Programmes,387661,62
Programmes,390271,69
Programmes,390680,96
Programmes,390793,216
Programmes,390821,52
Programmes,391951,103
Programmes,392671,151
Programmes,393293,129
Programmes,394201,153
Programmes,395463,78
Programmes,395484,162
Programmes,396771,35
