nomProgramateur
UGC DIFFUSION
SA MK2 VISION
SNC SAGEC - CINE 32 VEO
SARL MC4 DISTRIBUTION
LES CINEMAS GAUMONT PATHE
SARL LES FILMS DE LA ROCHELLE
SAS CINE DIFFUSION
SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE
SARL MULTICINES PYRENNEENS (Xavier-Menou)
CINEMAGINAIRE
ENT. REG. CIN. NORD PAS DE CALAIS
SARL GPCI
SARL NORD OUEST EXPLOITATION CINEMA
SOGECI
SUD CINE
ARTEC
UGC MEDITERRANEE
SOGECIS
GROUPEMENT DES SALLES FAMILIALES DE LYON (GSF)
SARL CINEODE
STE NOUVELLE DES CINEMAS DE DREUX (Brunet)
SEM DU PALACE EPINAL (Toussaint)
SARL CINEPROFILMS
SAS AGORA CINEMAS
PROVENCAUX ASSOCIES
SARL EXHANTHUS
CVL
SAINT LOUIS
CINE LANDES
SARL LE CLUB (Pfister)
SAS CINE LEMAN (Baud)
Les cinemas GAUMONT-PATHE
SEGECIS
OCINE
KINEPOLIS
SARL SOCIETE CADURCIENNE D'EXPLOITATION CINEMATOGRAPHIQUE
CAP'CINEMA
GENERIQUE
SONHIR
SAR LE CLUB (Pfister)
BROUILLER - SNES
CINEPARADIS
SA CINEMA MEGAREX (Wernet)
MAURIENNE
SARL UNIPERSONNELLE CINEMA LES VARIETES
SNES
SARL CINE 70 (Turpin)
SAS JFR (Roupioz)
SARL LE PARIS (Bouquet)
IMAGO
STE D'EXPLOITATION GRAND ECRAN (FRIDMAN)
CINEGYR CARNAC
Nord Est Cinéma (Thirriot)
SARL CINE PARADIS (Reggiani)
CINERGYR-CARNAC
SAS CINE MONTBLANC (Baud)
GAP
GRAND ECRAN
TUPIN
Montereau Point Com (Aubry)
BLN MAJESTIC (Lengrand)
SAS D'EXPLOITATION DU PALACE (Lavalée)
SAS CINEMA LE TREFLE (Letzugs)
SA MAJESTIC (Turpin)
SA Majestic Compiegne (Meunier)
Grand écran
CINE 70 TUPIN
SEGECI
SAS CINEMA LE MAJESTIC (Baud)
SAS CINEFORTIS (Lemonnier)
STE NOUVELLE DES CINEMAS MELIES (Carpels)
SAS CINE VILLAGE
